Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range
Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,1,3,May 14 - May 19,05/14/2020 12:00:00 AM,05/19/2020 12:00:00 AM,13.4,12.0,15.0,12.0 - 15.0,
Symptoms of Anxiety Disorder,By Age,United States,80 years and above,1,3,May 14 - May 19,05/14/2020 12:00:00 AM,05/19/2020 12:00:00 AM,11.8,8.8,15.3,8.8 - 15.3,
Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,39.1,36.8,41.3,36.8 - 41.3,
Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,35.2,33.7,36.8,33.7 - 36.8,
Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,31.4,29.8,33.1,29.8 - 33.1,
Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,29.3,27.8,31.0,27.8 - 31.0,
Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,22.2,20.7,23.8,20.7 - 23.8,
Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,15.0,13.1,17.0,13.1 - 17.0,
Symptoms of Anxiety Disorder,By Age,United States,80 years and above,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,17.1,10.9,25.1,10.9 - 25.1,
Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,42.2,40.5,43.9,40.5 - 43.9,
Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,35.8,34.5,37.2,34.5 - 37.2,
Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,32.1,30.6,33.6,30.6 - 33.6,
Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,29.3,27.8,30.9,27.8 - 30.9,
Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,23.0,21.6,24.4,21.6 - 24.4,
Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,18.2,15.9,20.7,15.9 - 20.7,
Symptoms of Anxiety Disorder,By Age,United States,80 years and above,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,13.3,9.6,17.8,9.6 - 17.8,
Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,41.7,39.2,44.4,39.2 - 44.4,
Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,36.8,35.0,38.6,35.0 - 38.6,
Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,34.9,33.0,36.9,33.0 - 36.9,
Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,31.8,29.9,33.6,29.9 - 33.6,
Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,22.3,20.4,24.3,20.4 - 24.3,
Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,15.4,13.6,17.5,13.6 - 17.5,
Symptoms of Anxiety Disorder,By Age,United States,80 years and above,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,13.7,9.4,19.1,9.4 - 19.1,
Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,1,7,June 11 - June 16,06/11/2020 12:00:00 AM,06/16/2020 12:00:00 AM,42.9,40.1,45.7,40.1 - 45.7,
Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,1,7,June 11 - June 16,06/11/2020 12:00:00 AM,06/16/2020 12:00:00 AM,35.8,34.2,37.5,34.2 - 37.5,
Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,1,7,June 11 - June 16,06/11/2020 12:00:00 AM,06/16/2020 12:00:00 AM,34.8,32.9,36.8,32.9 - 36.8,
Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,1,7,June 11 - June 16,06/11/2020 12:00:00 AM,06/16/2020 12:00:00 AM,31.7,29.7,33.7,29.7 - 33.7,
Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,1,7,June 11 - June 16,06/11/2020 12:00:00 AM,06/16/2020 12:00:00 AM,23.6,21.9,25.3,21.9 - 25.3,
Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,1,7,June 11 - June 16,06/11/2020 12:00:00 AM,06/16/2020 12:00:00 AM,18.0,15.7,20.5,15.7 - 20.5,
Symptoms of Anxiety Disorder,By Age,United States,80 years and above,1,7,June 11 - June 16,06/11/2020 12:00:00 AM,06/16/2020 12:00:00 AM,14.6,11.3,18.5,11.3 - 18.5,
Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,1,8,June 18 - June 23,06/18/2020 12:00:00 AM,06/23/2020 12:00:00 AM,42.8,40.4,45.2,40.4 - 45.2,
Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,1,8,June 18 - June 23,06/18/2020 12:00:00 AM,06/23/2020 12:00:00 AM,36.0,34.4,37.5,34.4 - 37.5,
Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,1,8,June 18 - June 23,06/18/2020 12:00:00 AM,06/23/2020 12:00:00 AM,34.0,32.4,35.7,32.4 - 35.7,
Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,1,8,June 18 - June 23,06/18/2020 12:00:00 AM,06/23/2020 12:00:00 AM,32.4,30.4,34.4,30.4 - 34.4,
Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,1,8,June 18 - June 23,06/18/2020 12:00:00 AM,06/23/2020 12:00:00 AM,23.1,21.3,24.9,21.3 - 24.9,
Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,1,8,June 18 - June 23,06/18/2020 12:00:00 AM,06/23/2020 12:00:00 AM,14.8,13.1,16.8,13.1 - 16.8,
Symptoms of Anxiety Disorder,By Age,United States,80 years and above,1,8,June 18 - June 23,06/18/2020 12:00:00 AM,06/23/2020 12:00:00 AM,11.4,7.9,15.8,7.9 - 15.8,
Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,1,9,June 25 - June 30,06/25/2020 12:00:00 AM,06/30/2020 12:00:00 AM,42.4,40.5,44.4,40.5 - 44.4,
Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,1,9,June 25 - June 30,06/25/2020 12:00:00 AM,06/30/2020 12:00:00 AM,38.9,37.5,40.4,37.5 - 40.4,
Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,1,9,June 25 - June 30,06/25/2020 12:00:00 AM,06/30/2020 12:00:00 AM,35.4,33.7,37.2,33.7 - 37.2,
Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,1,9,June 25 - June 30,06/25/2020 12:00:00 AM,06/30/2020 12:00:00 AM,33.9,32.2,35.5,32.2 - 35.5,
Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,1,9,June 25 - June 30,06/25/2020 12:00:00 AM,06/30/2020 12:00:00 AM,25.0,23.5,26.6,23.5 - 26.6,
Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,1,9,June 25 - June 30,06/25/2020 12:00:00 AM,06/30/2020 12:00:00 AM,18.6,17.0,20.4,17.0 - 20.4,
Symptoms of Anxiety Disorder,By Age,United States,80 years and above,1,9,June 25 - June 30,06/25/2020 12:00:00 AM,06/30/2020 12:00:00 AM,16.2,11.6,21.7,11.6 - 21.7,
Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,1,10,July 2 - July 7,07/02/2020 12:00:00 AM,07/07/2020 12:00:00 AM,44.4,41.8,47.1,41.8 - 47.1,
Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,1,10,July 2 - July 7,07/02/2020 12:00:00 AM,07/07/2020 12:00:00 AM,40.6,39.3,42.0,39.3 - 42.0,
Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,1,10,July 2 - July 7,07/02/2020 12:00:00 AM,07/07/2020 12:00:00 AM,36.1,34.6,37.7,34.6 - 37.7,
Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,1,10,July 2 - July 7,07/02/2020 12:00:00 AM,07/07/2020 12:00:00 AM,33.4,31.8,35.1,31.8 - 35.1,
Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,1,10,July 2 - July 7,07/02/2020 12:00:00 AM,07/07/2020 12:00:00 AM,26.5,24.9,28.1,24.9 - 28.1,
Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,1,10,July 2 - July 7,07/02/2020 12:00:00 AM,07/07/2020 12:00:00 AM,18.4,16.4,20.4,16.4 - 20.4,
Symptoms of Anxiety Disorder,By Age,United States,80 years and above,1,10,July 2 - July 7,07/02/2020 12:00:00 AM,07/07/2020 12:00:00 AM,19.3,15.0,24.2,15.0 - 24.2,
Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,1,11,July 9 - July 14,07/09/2020 12:00:00 AM,07/14/2020 12:00:00 AM,47.7,45.3,50.1,45.3 - 50.1,
Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,1,11,July 9 - July 14,07/09/2020 12:00:00 AM,07/14/2020 12:00:00 AM,42.9,41.2,44.6,41.2 - 44.6,
Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,1,11,July 9 - July 14,07/09/2020 12:00:00 AM,07/14/2020 12:00:00 AM,37.7,35.9,39.5,35.9 - 39.5,
Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,1,11,July 9 - July 14,07/09/2020 12:00:00 AM,07/14/2020 12:00:00 AM,34.7,32.6,36.8,32.6 - 36.8,
Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,1,11,July 9 - July 14,07/09/2020 12:00:00 AM,07/14/2020 12:00:00 AM,27.8,25.9,29.7,25.9 - 29.7,
Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,1,11,July 9 - July 14,07/09/2020 12:00:00 AM,07/14/2020 12:00:00 AM,17.8,15.8,20.0,15.8 - 20.0,
Symptoms of Anxiety Disorder,By Age,United States,80 years and above,1,11,July 9 - July 14,07/09/2020 12:00:00 AM,07/14/2020 12:00:00 AM,15.6,11.9,20.0,11.9 - 20.0,
Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,1,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,46.6,44.3,48.8,44.3 - 48.8,
Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,1,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,42.8,40.9,44.8,40.9 - 44.8,
Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,1,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,39.9,37.8,42.0,37.8 - 42.0,
Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,1,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,36.1,34.0,38.1,34.0 - 38.1,
Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,1,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,27.3,25.5,29.2,25.5 - 29.2,
Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,1,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,19.5,17.4,21.7,17.4 - 21.7,
Symptoms of Anxiety Disorder,By Age,United States,80 years and above,1,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,13.4,10.6,16.7,10.6 - 16.7,
